Silver_Price,Year,Gold_price,Truth
2715,1981,1800,0
2720,1982,1970,0
3105,1983,2130,0
3570,1984,2140,0
3955,1985,2570,0
4015,1986,3130,0
4794,1987,3140,0
6066,1988,3200,0
6755,1989,3466,0
6463,1990,4045,0
6646,1991,4140,0
8040,1992,4234,0
5489,1993,4300,0
7124,1994,4334,0
6335,1995,4400,0
7346,1996,4598,0
7345,1997,4680,0
8560,1998,4725,0
7615,1999,4990,0
7900,2000,5160,0
7215,2001,5600,0
7875,2002,5850,0
7695,2003,7000,0
11770,2004,8400,0
10675,2005,10800,1
17405,2006,12500,1
19520,2007,14500,1
23625,2008,18500,1
22165,2009,26343,1
27255,2010,26400,1
56900,2011,28006,1
56290,2012,28623,1
54030,2013,29600,1
43070,2014,29667,1
37825,2015,31050,1
36990,2016,31438,1
37825,2017,35220,1
41400,2018,48651,1
40600,2019,50045,1
63435,2020,52950,1
